Mean Surface Air Temperature over Ocean or Land Areas (C)
Year,Land_Annual,Lowess(5),Ocean_Annual,Lowess(5)
1880,-0.56,-0.46,-0.05,0.01
1881,-0.37,-0.50,0.01,-0.02
1882,-0.47,-0.54,0.00,-0.06
1883,-0.56,-0.58,-0.06,-0.09
1884,-0.83,-0.62,-0.15,-0.12
1885,-0.76,-0.64,-0.21,-0.15
1886,-0.60,-0.64,-0.21,-0.16
1887,-0.69,-0.61,-0.24,-0.16
1888,-0.56,-0.57,-0.05,-0.16
1889,-0.28,-0.53,-0.04,-0.16
1890,-0.53,-0.51,-0.29,-0.16
1891,-0.46,-0.49,-0.13,-0.17
1892,-0.54,-0.48,-0.18,-0.18
1893,-0.51,-0.47,-0.23,-0.18
1894,-0.43,-0.44,-0.26,-0.16
1895,-0.42,-0.40,-0.14,-0.15
1896,-0.40,-0.35,0.00,-0.14
1897,-0.21,-0.28,-0.05,-0.13
1898,-0.33,-0.22,-0.23,-0.13
1899,-0.12,-0.19,-0.16,-0.15
1900,-0.02,-0.17,-0.07,-0.19
1901,-0.04,-0.18,-0.18,-0.23
1902,-0.24,-0.19,-0.26,-0.26
1903,-0.25,-0.21,-0.41,-0.28
1904,-0.39,-0.25,-0.51,-0.31
1905,-0.21,-0.29,-0.28,-0.34
1906,-0.11,-0.31,-0.26,-0.36
1907,-0.55,-0.32,-0.32,-0.38
1908,-0.35,-0.34,-0.47,-0.41
1909,-0.39,-0.36,-0.52,-0.42
1910,-0.33,-0.37,-0.49,-0.43
1911,-0.39,-0.34,-0.47,-0.41
1912,-0.43,-0.30,-0.31,-0.37
1913,-0.26,-0.29,-0.37,-0.33
1914,-0.00,-0.31,-0.21,-0.30
1915,-0.06,-0.32,-0.14,-0.29
1916,-0.43,-0.33,-0.33,-0.27
1917,-0.63,-0.34,-0.38,-0.27
1918,-0.46,-0.35,-0.22,-0.27
1919,-0.29,-0.33,-0.27,-0.28
1920,-0.31,-0.29,-0.26,-0.27
1921,-0.05,-0.24,-0.24,-0.27
1922,-0.24,-0.20,-0.30,-0.27
1923,-0.20,-0.16,-0.30,-0.27
