Seasonal cycle from MERRA2 using base period 1980-2015
Year,Anomaly
1880.04,-2.58
1880.13,-2.39
1880.21,-1.56
1880.29,-0.62
1880.38,0.38
1880.46,0.96
1880.54,1.25
1880.63,1.2
1880.71,0.52
1880.79,-0.58
1880.88,-1.67
1880.96,-2.31
1881.04,-2.6
1881.13,-2.29
1881.21,-1.44
1881.29,-0.41
1881.38,0.54
1881.46,0.98
1881.54,1.43
1881.63,1.27
1881.71,0.52
1881.79,-0.57
1881.88,-1.63
1881.96,-2.21
1882.04,-2.24
1882.13,-2.01
1882.21,-1.43
1882.29,-0.63
1882.38,0.33
1882.46,0.94
1882.54,1.26
1882.63,1.23
1882.71,0.52
1882.79,-0.59
1882.88,-1.62
1882.96,-2.51
1883.04,-2.69
1883.13,-2.52
1883.21,-1.6
1883.29,-0.65
1883.38,0.3
1883.46,1.09
1883.54,1.35
1883.63,1.16
1883.71,0.45
1883.79,-0.47
1883.88,-1.69
1883.96,-2.25
1884.04,-2.53
1884.13,-2.23
1884.21,-1.84
1884.29,-0.86
1884.38,0.14
1884.46,0.82
1884.54,1.1
1884.63,1.02
1884.71,0.4
1884.79,-0.61
1884.88,-1.79
1884.96,-2.45
1885.04,-2.99
1885.13,-2.49
1885.21,-1.74
1885.29,-0.88
1885.38,0.02
1885.46,0.73
1885.54,1.09
1885.63,0.98
1885.71,0.38
1885.79,-0.59
1885.88,-1.69
1885.96,-2.25
1886.04,-2.84
1886.13,-2.66
1886.21,-1.91
1886.29,-0.75
1886.38,0.23
1886.46,0.81
1886.54,1.24
1886.63,0.98
1886.71,0.42
1886.79,-0.63
1886.88,-1.73
1886.96,-2.4
1887.04,-3.13
1887.13,-2.72
1887.21,-1.83
1887.29,-0.81
1887.38,0.17
1887.46,0.92
1887.54,1.16
1887.63,0.94
1887.71,0.4
1887.79,-0.71
1887.88,-1.72
1887.96,-2.48
1888.04,-2.75
1888.13,-2.52
1888.21,-1.89
1888.29,-0.67
1888.38,0.25
1888.46,0.99
1888.54,1.31
1888.63,1.13
1888.71,0.54
1888.79,-0.35
1888.88,-1.43
1888.96,-2.19
1889.04,-2.5
1889.13,-1.99
1889.21,-1.42
1889.29,-0.37
